Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Yamawa,https://www.crunchbase.com/organization/yamawa,501-1000,Active,https://www.yamawa.com/en/,,+81 03-3561-2711,,,,,,,,,"Apps, Hardware, Manufacturing, Other, Sales and Marketing, Software","Apps, B2B, Hardware, Manufacturing, Sales, SNS",0,3,,Machines and machine tools,,,,,,"Tokyo, Tokyo, Japan",$10M to $50M,1923-11-01,month,,https://www.linkedin.com/company/yamawa-europe-s.p.a./
CAMPFIRE,https://www.crunchbase.com/organization/campfire-5,51-100,Active,https://camp-fire.jp/,support@camp-fire.jp,,17,18,14,,,,,,"Administrative Services, Blockchain and Cryptocurrency, Clothing and Apparel, Design, Financial Services, Internet Services, Media and Entertainment, Other, Payments, Software","Asset Management, Content, Cryptocurrency, Fashion, Finance, Human Resources, Internet, Sharing Economy, SNS",,,,,,,,,,"Shibuya, Kanagawa, Japan",$1M to $10M,2011-04-28,day,"Money Forward, BASE, Ceres, East Ventures, SBI Investment",https://www.linkedin.com/company/campfirejp/
AIQ,https://www.crunchbase.com/organization/aiq-japan,101-250,Active,http://aiqlab.com,info@aiqlab.com,,,,,,,,,,"Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Design, Hardware, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Content, Fashion, Internet, Machine Learning, Marketing, SNS, Telecommunications",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2017-07-06,day,"And Factory, SMBC Venture Capital, NTT DOCOMO Ventures, Mizuho Capital, Hakuhodo DY Ventures",
pafin,https://www.crunchbase.com/organization/cryptact,11-50,Active,https://pafin.co/,contact@pafin.co,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Media and Entertainment, Other, Payments, Software","Asset Management, Blockchain, Cryptocurrency, Financial Services, FinTech, Personal Finance, SNS, Social Media",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2018-01-01,month,"Money Forward, MINKABU, JAFCO, JAFCO Asia, DG Daiwa Ventures",https://www.linkedin.com/company/cryptact
MeetsMore,https://www.crunchbase.com/organization/meetsmore,51-100,Active,https://meetsmore.com,info@meetsmore.biz,,,,,,,,,,"Financial Services, Software","Crowdfunding, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2017-02-08,day,"Google for Startups, WiL (World Innovation Lab), Angel Bridge, Kensuke Furukawa, Todai Fund",https://www.linkedin.com/company/meetsmore
VALU,https://www.crunchbase.com/organization/valu,11-50,Active,https://corp.valu.is,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, Finance, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2016-12-05,day,"READYFOR, Global Brain Corporation, Kotaro Chiba",
A10 Lab,https://www.crunchbase.com/organization/a10-lab,1-10,Active,https://a10lab.com/,contact@a10lab.com,03-5422-8396,,,,,,,,,"Apps, Information Technology, Media and Entertainment, Software","Apps, Content, Information Technology, SNS, Software",1,0,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2016-12-01,month,"Sony, Mizuho Capital, Nippon Venture Capital, Sumitomo Life Insurance Company, Future Venture Capital",
EventHub,https://www.crunchbase.com/organization/eventhub,11-50,Active,https://eventhub.jp/,info@eventhub.jp,,,,,,,,,,"Events, Internet Services, Media and Entertainment, Music and Audio, Software","Content, Events, Internet, Music, SNS",0,1,,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2016-02-24,day,"Sansan, Uzabase, JAFCO, Salesforce Ventures",https://www.linkedin.com/company/eventhubtky
WeddingBook,https://www.crunchbase.com/organization/weddingbook,11-50,Active,http://www.weddingbook.com,info@weddingbook.com,,,,,,,,,,"Commerce and Shopping, Internet Services, Software","E-Commerce, SNS, Web Hosting",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,2007-01-01,year,"SBVA, SV Investment Corp, Capstone Partners, DSC Investment, TheVentures",
M&A Cloud,https://www.crunchbase.com/organization/m-a-cloud,11-50,Active,https://macloud.jp,,,,,,,,,,,"Media and Entertainment, Software","Media and Entertainment, SNS, Software, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2015-12-07,day,"toggle, Mizuho Bank, SMBC Venture Capital, Sumitomo Mitsui Banking Corporation, Incubate Fund",https://www.linkedin.com/company/株式会社m-aクラウド
Moi Corporation,https://www.crunchbase.com/organization/moi-corporation,11-50,Active,https://about.moi.st/en,info@moi.st,,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software, Video","Broadcasting, Content, Mobile, SNS, Social Media, Video, Video Streaming",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2012-02-29,day,"East Ventures, SBI Investment, KDDI Open Innovation Fund, Sinarmas, Global Brain Corporation",https://www.linkedin.com/company/moi-corporation
Kotozna Japan,https://www.crunchbase.com/organization/kotozna-japan,11-50,Active,http://kotozna.com/,pr@kotozna.com,,,,,,,,,,"Apps, Education, Hardware, Software, Travel and Tourism","Apps, Language Learning, SNS, Telecommunications, Travel",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2016-10-07,day,"Nippon Venture Capital, QB Capital, Singapore Tourism Accelerator, Oita Venture Capital, Tsuneishi Partners",https://www.linkedin.com/company/kotozna/
MEDCARE,https://www.crunchbase.com/organization/medcare,11-50,Active,http://medcare.jp/,,1-136-908-0941,,,,,,,,,"Consumer Goods, Health Care, Software","Beauty, Health Care, Nursing and Residential Care, SNS",7,0,,,,,,,,"Toshima, Tokyo, Japan",$1M to $10M,2015-04-01,day,"Mitsui & Co, SMBC Venture Capital, Mitsubishi UFJ Capital, Recruit Holdings, ORIX Group",https://www.linkedin.com/company/メドケア株式会社
VISITS Technologies,https://www.crunchbase.com/organization/visits-technologies,51-100,Active,https://visits.world/,,,,,,,,,,,"Administrative Services, Education, Other, Professional Services, Software","Career Planning, Education, Human Resources, Recruiting, Sharing Economy, SNS",5,0,Computing; Calculating,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2014-01-01,year,"Google for Startups, Dentsu, Incubate Fund, Mitsubishi UFJ Capital, Mizuho Capital",https://www.linkedin.com/company/visits-works-inc
ONLY STORY,https://www.crunchbase.com/organization/only-story,11-50,Active,http://onlystory.co.jp,info@onlystory.jp,03-6821-7872,,,,,,,,,"Sales and Marketing, Software","Marketing, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2013-01-01,year,"Uzabase, XTech Ventures, Daiwa Corporate Investment, Hakuhodo DY Ventures, Japan Post Capital",https://www.linkedin.com/company/オンリーストーリー株式会社
Between,https://www.crunchbase.com/organization/vcnc,11-50,Active,https://between.us/,info@vcnc.co.kr,,,,,,,,,,"Mobile, Software","Mobile, SNS, Software",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,2010-09-01,day,"500 Global, SBVA, DeNA, Capstone Partners, Stonebridge Capital",http://www.linkedin.com/company/2501234
Trim Japan,https://www.crunchbase.com/organization/trim-japan,11-50,Active,http://www.trim-inc.com,,,,,,,,,,,"Consumer Goods, Health Care, Software","Beauty, Health Care, SNS",,,,,,,,,,"Yokohama, Kanagawa, Japan",$1M to $10M,2015-02-11,day,"Incubate Fund, HOPE Japan, Digital Garage (TSE: 4819), Japan Finance Corporation, Future Venture Capital",
Link Sports,https://www.crunchbase.com/organization/link-sports,11-50,Active,https://linksports.co.jp,,,,,,,,,,,"Hardware, Internet Services, Media and Entertainment, Software, Sports","Content, SNS, Social Media, Sports, Telecommunications",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2014-01-27,day,"Samurai Incubate, Japan Finance Corporation, ANOBAKA, iSGS Investment Works, Venture United",https://www.linkedin.com/company/link-sports-inc.
LanWay,https://www.crunchbase.com/organization/lanway,11-50,Active,http://lanway.jp,,03-6272-4442,,,,,,,,,"Information Technology, Sales and Marketing, Software","SNS, Social CRM",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2011-03-08,day,EPARK,
BERTRAND Japan,https://www.crunchbase.com/organization/bertrand-japan,11-50,Active,http://bertrandco.com/,contactjp@bentoandco.com,81 75 708 2164,,,,,,,,,"Software, Transportation","Logistics, SNS, Task Management",,,,,,,,,,"Kyoto, Kyoto, Japan",$1M to $10M,2008-11-01,day,Spiral Capital,https://www.linkedin.com/company/bertrand-co-
Anglers,https://www.crunchbase.com/organization/anglers,,Active,https://anglers.jp/,info@anglers.jp,,,,,,,,,,"Information Technology, Media and Entertainment, Mobile, Other, Platforms, Software","Content, Information Technology, iOS, Sharing Economy, SNS, Software",,,,,,,,,,"Machida, Tokyo, Japan",$1M to $10M,2012-10-02,day,"Maezawa Fund, 500 Startups Japan, IGNIS Japan",
HotPrints,https://www.crunchbase.com/organization/hotprints,1-10,Active,http://www.HotPrints.com,info@hotprints.com,14407938972311,,,,,,,,,"Commerce and Shopping, Content and Publishing, Internet Services, Media and Entertainment, Software","E-Commerce, Photography, Publishing, SNS, Web Hosting",,,,,,,,,,"Lucerne Valley, California, United States",$1M to $10M,2008-01-01,year,Signatures Capital,https://www.linkedin.com/company/hotprints
Netsket,https://www.crunchbase.com/organization/netsket-inc,1-10,Active,https://www.netsket.com/,everevo-support1@everevo.com,048-711-3131,,,,,,,,,"Community and Lifestyle, Internet Services, Media and Entertainment, Software","SNS, Social, Social Media",,,,,,,,,,"Ageo, Saitama, Japan",$1M to $10M,2006-01-25,day,"Incubate Fund, Samurai Incubate",https://www.linkedin.com/company/netsket-inc-
KR Marketing,https://www.crunchbase.com/organization/kr-marketing,11-50,Active,http://krmkt.co.kr ,,02-792-1147,,,,,,,,,"Advertising, Professional Services, Sales and Marketing, Software","Advertising, Consulting, SNS, Video Advertising",,,,,,,,,,"Seongdong, Kyonggi-do, South Korea",$1M to $10M,2016-06-17,day,,
B-Partner,https://www.crunchbase.com/organization/b-partner,11-50,Active,https://www.b-partner.co.kr,BP-M@b-partner.co.kr,+82 070 4067 1800,,,,,,,,,"Advertising, Content and Publishing, Media and Entertainment, Professional Services, Sales and Marketing, Software","Advertising, Blogging Platforms, Consulting, Marketing, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,,,,
Wee's Group,https://www.crunchbase.com/organization/wee-s-group,11-50,Active,https://www.wees.co.kr/,wees@wees.co.kr,02.3445.3113,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Marketing, SNS",,,,,,,,,,"Geumgok, Kyonggi-do, South Korea",$1M to $10M,2004-05-06,day,,
Sunnyloft,https://www.crunchbase.com/organization/sunnyloft,11-50,Closed,http://www.sunnyloft.com,sunnyloft@sunnyloft.com,,,,,,,,,,"Community and Lifestyle, Internet Services, Media and Entertainment, Software","Dating, SNS, Social Media",1,0,Computing; Calculating,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,2011-04-01,day,SBVA,https://www.linkedin.com/company/sunnyloft
LyricBus Inc,https://www.crunchbase.com/organization/lyricbus-inc,11-50,Active,http://www.lyricbus.com,lyricbus@gmail.com,,,,,,,,,,"Internet Services, Media and Entertainment, Music and Audio, Software","Music, SNS, Social Media",,,,,,,,,,"Toronto, Ontario, Canada",$1M to $10M,2005-07-10,day,,
dooub,https://www.crunchbase.com/organization/dooub,11-50,Active,http://www.dooub.com,biz@dooub.com,82 70 8699 3388,,,,,,,,,"Media and Entertainment, Mobile, Music and Audio, Platforms, Software","Android, iOS, Music, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,2011-04-06,day,Capstone Partners,https://www.linkedin.com/company/dooub-inc-
MyQuire,https://www.crunchbase.com/organization/myquire,1-10,Active,http://www.myquire.com,info@myquire.com,,,,,,,,,,"Internet Services, Other, Software","Collaboration, Internet, SNS, Web Hosting",,,,,,,,,,"Seattle, Washington, United States",$1M to $10M,2006-01-01,year,,
OnDemandWorld,https://www.crunchbase.com/organization/ondemandworld,11-50,Active,http://www.OnDemandWorld.com,support@ondemandworld.com,,,,,,,,,,"Internet Services, Mobile, Platforms, Software","Android, Internet, iOS, Mobile, SNS, Software",,,,,401901,USD,401901,,,"London, England, United Kingdom",$1M to $10M,2009-02-18,day,,https://www.linkedin.com/company/ondemandworld
Rotir,https://www.crunchbase.com/organization/rotir,,Active,https://rotir.co.jp/,,,,,,,,,,,"Artificial Intelligence (AI), Sales and Marketing, Software","Content Marketing, Robotic Process Automation (RPA), SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,2021-09-01,month,,
ilgram,https://www.crunchbase.com/organization/ilgram,11-50,Active,http://ilgram.creatorlink.net ,shin@ilgram.co.kr,010-9169-3003,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Marketing, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,2016-02-15,day,,https://www.linkedin.com/company/cma-shtm-polyu
MINOWORKS,https://www.crunchbase.com/organization/minoworks,1-10,Active,http://minoworks.net,contact@minoworks.net,,,,,,,,,,"Apps, Education, Gaming, Internet Services, Media and Entertainment, Mobile, Software","Apps, Casual Games, Mobile, Mobile Apps, SNS, Social Media, Tutoring",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,2010-07-01,day,,
SocialGraphy,https://www.crunchbase.com/organization/socialgraphy,11-50,Active,http://www.socialgraphy.co.kr,biz@socialgraphy.co.kr,02-542-3203,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, SNS, Social Media Marketing",,,,,,,,,,"Gangneung, Kangwon-do, South Korea",$1M to $10M,2016-02-02,day,,
CHINICT,https://www.crunchbase.com/organization/chinict,11-50,Closed,http://www.CHINICT.org,info@chinict.org,,,,,,,,,,"Events, Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Mobile, Software","Events, Internet, Mobile, SNS, Venture Capital",,,,,,,,,,"Beijing, Beijing, China",$1M to $10M,2005-01-01,year,,http://www.linkedin.com/company/chinict
MiAltos,https://www.crunchbase.com/organization/mialtos,1-10,Active,http://www.mialtos.com,,,,,,,,,,,"Education, Software","Language Learning, SNS",,,,,,,,,,"Jalisco, Durango, Mexico",$1M to $10M,2007-10-01,day,,
SolSpectrum,https://www.crunchbase.com/organization/solspectrum,11-50,Active,http://www.uniqube.tv,alex@solspectrum.co.kr,+82 02-6292-2018,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software, Video","Advertising, SNS, Video",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,2008-02-01,day,,https://www.linkedin.com/company/solspectrum-inc.
MEDIABRAIN,https://www.crunchbase.com/organization/mediabrain-6960,11-50,Active,https://mediabrain.co.kr,info@mediabrain.co.kr,,,,,,,,,,"Advertising, Design, Media and Entertainment, Sales and Marketing, Software","Advertising, Content Creators, Digital Marketing, SNS, Web Design",,,,,,,,,,"Chonggye, Kyongsang-bukto, South Korea",$1M to $10M,2005-04-19,day,,
SOFTROCK,https://www.crunchbase.com/organization/softrock-b245,11-50,Active,http://softrock.co.jp/,,03-3492-0765,,,,,,,,,"Information Technology, Other, Professional Services, Software","Outsourcing, SNS, Technical Support",,,,,,,,,,"Tokyo, Tokyo, Japan",$1M to $10M,1986-04-03,day,,
OFUSE,https://www.crunchbase.com/organization/ofuse,11-50,Active,http://ofuse.jp,info@ofuse.jp,06-6532-1422,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Digital Marketing, SNS, Web Development",,,,,,,,,,"Osaka-shi, Osaka, Japan",$1M to $10M,2004-01-05,day,,
"Audio Metaverse, Inc.",https://www.crunchbase.com/organization/doki-doki-inc,1-10,Active,https://www.thecubemint.com/,take@dOkidOki.com,415 316-2859,,,,,,,,,"Data and Analytics, Media and Entertainment, Software","Business Intelligence, Content, Metaverse, SNS, Software",,,,,,,,,,"San Francisco, California, United States",Less than $1M,2014-06-07,day,"Skyland Ventures, Kyoto University Innovation Capital",https://www.linkedin.com/company/audio-metaverse-inc/
Timers,https://www.crunchbase.com/organization/timers,1-10,Active,http://timers-inc.com,,,,,,,,,,,"Apps, Internet Services, Software","Apps, Internet, Internet of Things, SNS",0,1,,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",Less than $1M,2012-01-01,year,"East Ventures, SMBC Venture Capital, Incubate Fund, NTT DOCOMO Ventures, Globis Capital Partners",https://www.linkedin.com/company/timers-inc-
WIV Labs,https://www.crunchbase.com/organization/wivlabs,11-50,Active,https://www.wivlabs.com/,info@wivlabs.com,+82-10-2675-9366 ,,,,,,,,,"Data and Analytics, Internet Services, Software","Analytics, Big Data, Search Engine, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",Less than $1M,2013-01-01,year,"Kakao Ventures, TIPS Program, Small and Medium Business Administration",https://www.linkedin.com/company/wiv-labs
Social Bay,https://www.crunchbase.com/organization/social-bay,1-10,Active,http://socialbay.net,socialbay@naver.com,070-5055-2917,,,,,,,,,"Advertising, Professional Services, Sales and Marketing, Software","Advertising, Marketing, Recruiting, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",Less than $1M,2011-01-01,day,,
